"","State.Name","County.FIPS","County.Name","State.FIPS","Primary.and.Commercial.Airports","Non.Commercial..Civil.Public.Use.Airports.and.Seaplane.base","Non.Commercial..Other.Aerodromes","Number.of.Bridges","X..of.Poor.Condition.Bridges","Number.of.business.establishments","Percent.of.resident.workers.who.commute.by.transit","Number.of.resident.workers.who.work.at.home","Number.of.workers.from.other.counties.who.commute.to.work.in.the.county","Number.of.resident.workers.who.commute.to.work.in.other.counties","Number.of.resident.workers.who.commute.within.county","Number.of.resident.workers","Number.of.residents","Total.Docks","Total.Marinas","Route.miles.of.freight.railroad","X..of.Medium.to.Fair.Condition.Bridges","Route.miles.of.passenger.railroad.and.rail.transit"
"32","New Mexico",35030.1515151515,1023.90909090909,35,0.212121212121212,1.66666666666667,3.09090909090909,121.515151515152,0.0658335116363636,1324.57575757576,0.00609289766666667,1243.63636363636,3961.24242424242,3164.24242424242,22455.4545454545,26426.6666666667,63111.0606060606,0,0,66.9242424242424,0.934166488363636,21.3333333333333
"33","New York",36062,1056.37096774194,36,0.290322580645161,0.741935483870968,8.08064516129032,282.596774193548,0.109067180274194,8808.75806451613,0.0654198999032258,5907.5,52542.8870967742,48898.9677419355,94931.2903225807,147546.935483871,317700.967741935,2.04838709677419,0,66.0532258064516,0.890932819725806,27.3435483870968
"34","North Carolina",37100,910.2,37,0.09,0.65,4.11,183.77,0.10154231024,2325.78,0.00465691953,2149.35,12626.28,11514.27,31825.1,44481,99408.55,0.18,0,34.633,0.89845768976,6.808
"35","North Dakota",38053,991.415094339623,38,0.150943396226415,1.52830188679245,3.58490566037736,82.1698113207547,0.0971778052830189,460.698113207547,0.00371179835849057,363.490566037736,1118.7358490566,869.77358490566,6313.67924528302,7431.22641509434,13890,0,0,64.1471698113208,0.902822194716981,7.99056603773585
"36","Ohio",39088,943.465909090909,39,0.0681818181818182,1.14772727272727,6.36363636363636,309.965909090909,0.0569327357613636,2863.625,0.00622280928409091,2242.84090909091,18300.1704545455,16648.8068181818,42148.9772727273,60463.4090909091,131669.829545455,0.75,0,59.4545454545455,0.943067264238636,5.34318181818182
"37","Oklahoma",40077,910.363636363636,40,0.051948051948052,1.48051948051948,4.27272727272727,300.207792207792,0.105503617909091,1210.51948051948,0.00311743628571429,814.805194805195,5685.06493506493,5128.38961038961,16658.5064935065,22345.2597402597,50332.3376623377,0.142857142857143,0,43.0454545454545,0.894496382090909,2.29350649350649
"38","Oregon",41036,973.638888888889,41,0.194444444444444,2.11111111111111,9.38888888888889,226.694444444444,0.0509604474444444,3245.91666666667,0.0117438592777778,3169.72222222222,11399.6944444444,10328.7777777778,38350.4166666667,49781.1111111111,110618.472222222,1.63888888888889,0,67.5555555555556,0.949039552555556,12.7
"39","Pennsylvania",42067,873.179104477612,42,0.194029850746269,0.805970149253731,10.2985074626866,339.358208955224,0.165588500432836,4500.67164179104,0.0160109071641791,3698.28358208955,26030.8358208955,21428.5074626866,62342.1641791045,88392.2388059701,190805.52238806,1.26865671641791,0,73.6358208955224,0.834411499567164,14.434328358209
"40","Rhode Island",44005,1086.2,44,0.6,0.6,3.2,156,0.168059692,5698.4,0.0199367268,3724,38102.8,22031,63717,101892,210899,2.4,0,16.56,0.831940308,9.98
"41","South Carolina",45046,753.869565217391,45,0.0869565217391304,1.15217391304348,3,204.369565217391,0.0850566846956522,2361.39130434783,0.00555745332608696,1656.41304347826,13491.4565217391,11095.3913043478,32490,46006.5217391304,105100,0.41304347826087,0,52.3608695652174,0.914943315304348,12.2152173913043
"42","South Dakota",46067.9545454545,861.136363636364,46,0.0757575757575758,1.04545454545455,1.66666666666667,87.8030303030303,0.165647917515152,407.545454545455,0.00472421789393939,359.090909090909,1347.04545454545,1146.66666666667,5157.19696969697,6500.83333333333,12895,0,0,26.1984848484848,0.819200567333333,0.146969696969697
"43","Tennessee",47095,955.778947368421,47,0.0631578947368421,0.726315789473684,2.75789473684211,212.389473684211,0.0451092161157895,1444.68421052632,0.00293040950526316,1182.21052631579,8604.09473684211,7452.33684210526,21833.0526315789,30451.1052631579,68926.3684210526,0.526315789473684,0,30.1757894736842,0.954890783884211,1.80105263157895
"44","Texas",48254,923.330708661417,48,0.0905511811023622,1.05511811023622,6.85433070866142,213.114173228346,0.0144458776850394,2328.51181102362,0.00361844011417323,2051.02362204724,10865.5275590551,10439.157480315,37250.0196850394,48179.4881889764,106127.559055118,1.46062992125984,0.015748031496063,42.7405511811024,0.973743098692913,6.79803149606299
"45","Utah",49029,1085.03448275862,49,0.241379310344828,1.44827586206897,3.6551724137931,105.551724137931,0.0202958248965517,2747.34482758621,0.00830140503448276,2507.41379310345,8370.1724137931,7840.06896551724,38348.6206896552,46737.2413793103,101670.172413793,0,0,52.7241379310345,0.979704175103448,16.3034482758621
"46","Vermont",50014,920.714285714286,50,0.142857142857143,0.642857142857143,5.42857142857143,198.428571428571,0.0310804208571429,1497.64285714286,0.00736075478571429,1540,5192.07142857143,3699.78571428571,17616.0714285714,22820,44732.5,0,0,39.9571428571429,0.968919579142857,21.5714285714286
"47","Virginia",51263.992481203,910.300751879699,51,0.0676691729323308,0.353383458646617,2.82706766917293,104.676691729323,0.0536118560075188,1512.72180451128,0.0166035070300752,1431.61654135338,15777.1428571429,13095.030075188,14795.9022556391,30593.3834586466,62483.4962406015,0.669172932330827,0,24.6706766917293,0.931350550007519,5.8796992481203
"48","Washington",53039,1002.64102564103,53,0.230769230769231,2.46153846153846,11.0512820512821,212.25641025641,0.0512722556153846,4882.48717948718,0.0198113568974359,4722.94871794872,15887.7948717949,13250.1538461538,68768.8461538462,84755,181363.076923077,4.30769230769231,0,80.8179487179487,0.948727744384615,27.1282051282051
"49","West Virginia",54055,1058.90909090909,54,0.109090909090909,0.4,1.78181818181818,132.163636363636,0.194671054836364,658.036363636364,0.004161756,415.909090909091,4388.45454545455,2778.23636363636,8964.72727272727,13357.3636363636,33565,0.8,0,42.3472727272727,0.805328945163636,6.50909090909091
"50","Wisconsin",55071.0972222222,1013.875,55,0.111111111111111,1.23611111111111,6.20833333333333,198.263888888889,0.0785203138333333,1966.41666666667,0.00620393126388889,1658.40277777778,11213.5833333333,9652.56944444445,28560.2777777778,39762.3611111111,79927.7777777778,0.583333333333333,0,48.1930555555556,0.921479686166667,3.94166666666667
"51","Wyoming",56023,1004.4347826087,56,0.347826086956522,1.39130434782609,3.52173913043478,136.04347826087,0.087556475826087,912.086956521739,0.0155852934347826,603.913043478261,1027.86956521739,702.782608695652,11560.4347826087,12590.8695652174,25349.347826087,0,0,86.3217391304348,0.912443524173913,0
