YEAR,STATE,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,CITY,COUNTY,DAY,DAY_WEEK,DRUNK_DR,FATALS,HARM_EV,HOUR,LGT_COND,MAN_COLL,MINUTE,MONTH,NOT_HOUR,NOT_MIN,PERSONS,RAIL,REL_ROAD,SCH_BUS,SP_JUR,ST_CASE,VE_FORMS,WEATHER
2017,26,50.79787234,60.36489362,24.32978723,19.82340426,19.50851064,1262.920213,103.2255319,15.34255319,4.177659574,0.342553191,1.096808511,17.2287234,13.42021277,1.827659574,1.895744681,28.97340426,6.741489362,49.20212766,59.47340426,2.329787234,1.073404255,1.960638298,0.003191489,0.009574468,260476.2394,1.59787234,3.805319149
2017,27,20.35483871,35.59237537,1.290322581,0.06744868,0,1857.067449,82.90029326,16.91202346,4.049853372,0.307917889,1.049853372,16.75953079,12.61876833,1.753665689,2.366568915,29.85043988,6.818181818,17.26099707,33.36070381,2.278592375,1,2.120234604,0,0.041055718,270179.5865,1.565982405,4.11143695
2017,28,84.98850575,87.34318555,23.76847291,23.408867,23.408867,451.407225,79.98850575,15.48768473,4.078817734,0.187192118,1.124794745,19.60755337,13.11494253,1.719211823,1.591133005,28.61576355,6.720853859,80.79146141,83.98522167,2.302134647,1.239737274,2.625615764,0.004926108,0.004926108,280310.1839,1.530377668,3.24137931
2017,29,42.06589595,52.98612717,0.941040462,0.132947977,0.031213873,2213.408092,141.2092486,15.58034682,4.190751445,0.277456647,1.077456647,20.91445087,12.6300578,1.683236994,1.624277457,28.45433526,6.812716763,41.81618497,52.75722543,2.359537572,1.209248555,2.343352601,0.005780347,0,290444.1584,1.543352601,4.976878613
2017,30,19.08284024,35.05325444,0.704142012,0,0,48.22485207,51.66272189,14.76923077,4.159763314,0.402366864,1.100591716,15.37278107,13.84615385,1.568047337,1.177514793,26.09467456,6.875739645,17.04733728,32.04733728,2.26035503,1,3.266272189,0.01183432,0.426035503,300085,1.366863905,3.710059172
2017,31,44.53809524,53.30952381,0.371428571,0.10952381,0,1007.071429,91.58095238,15.98095238,4.133333333,0.323809524,1.085714286,15.64285714,23.92857143,1.838095238,1.819047619,37.63809524,6.733333333,44.07619048,53.1,2.1,1.157142857,2.352380952,0.004761905,0.042857143,310107.9571,1.519047619,5.028571429
2017,32,63.03082192,69.68150685,1.267123288,0.065068493,0,43.39726027,13.81164384,14.70205479,4.181506849,0.256849315,1.065068493,13.02054795,12.92123288,2.023972603,1.671232877,30.57534247,6.455479452,59.61986301,68.89726027,2.352739726,1,1.828767123,0.003424658,0.065068493,320146.9555,1.575342466,2.712328767
2017,33,14.65306122,31.51020408,2.224489796,0.336734694,0,260.2040816,10.3877551,14.89795918,4.132653061,0.244897959,1.040816327,22.2244898,14.2755102,1.673469388,1.071428571,28.12244898,6.408163265,15.03061224,29.66326531,2.040816327,1,3.316326531,0,0,330050.2653,1.448979592,3.408163265
2017,34,36.76311337,48.12351946,1.764805415,0.609137056,0.502538071,1634.505922,19.12182741,15.6751269,3.986463621,0.204737733,1.055837563,18.05922166,13.02538071,2.062605753,1.394247039,29.28426396,7.093062606,35.66835871,47.04906937,2.084602369,1.230118443,2.015228426,0.003384095,0.016920474,340301.8376,1.470389171,2.275803723
2017,35,31.81524927,44.37243402,1.642228739,0.190615836,0,487.7096774,24.12316716,15.74780059,4.19941349,0.299120235,1.114369501,13.37829912,13.71554252,1.914956012,4.008797654,29.02052786,6.762463343,31.80058651,43.8914956,2.551319648,1.017595308,2.146627566,0,0.37829912,350172.6305,1.574780059,2.642228739
2017,36,46.49414271,56.79233227,0.373801917,0,0,3517.99787,64.3056443,16.25772098,4.033013845,0.182108626,1.071352503,17.32055378,13.07348243,1.937167199,1.703940362,28.79765708,6.73056443,43.92332268,54.33546326,2.206602769,1.265175719,1.95314164,0.003194888,0.003194888,360480.2236,1.465388711,4.728434505
2017,37,29.62251149,43.03981623,0.487748851,0.015313936,0,1193.08193,99.8575804,15.33996937,4.059724349,0.284839204,1.081163859,20.20290965,12.94716692,1.737366003,1.712863706,29.31393568,6.590352221,29.2856049,42.8575804,2.282542113,1.394333844,2.211332312,0.00229709,0.008422665,370657.9181,1.544410413,2.287901991
